Month	KPI	Direction	Plant	UOM	Achieved	Target
Nov-25	YMR	HIGHER_IS_BETTER	Plant-06	%	94.92%	94.00%
Nov-25	Actual OEE	HIGHER_IS_BETTER	Plant-05	%	82.90%	83.00%
Nov-25	Actual OEE	HIGHER_IS_BETTER	Plant-06	%	74.72%	74.00%
Nov-25	EHS	LOWER_IS_BETTER	Plant-05	Num	0	0
Nov-25	EHS	LOWER_IS_BETTER	Plant-06	Num	0	0
Nov-25	FGS	HIGHER_IS_BETTER	Plant-05	Num	24726	37000
Nov-25	FGS	HIGHER_IS_BETTER	Plant-06	Num	22220	17500
Nov-25	WIP	LOWER_IS_BETTER	Plant-05	Num	3.10	3.50
Nov-25	WIP	LOWER_IS_BETTER	Plant-06	Num	1.96	2.00
Dec-25	Customer Complaints	LOWER_IS_BETTER	Plant-05	Num	1	0
Dec-25	Customer Complaints	LOWER_IS_BETTER	Plant-06	Num	0	0
Dec-25	MMR	LOWER_IS_BETTER	Plant-05	Num	1.75	1.33
Dec-25	MMR	LOWER_IS_BETTER	Plant-06	Num	1.24	1.19
Dec-25	Cost/Dzn (Rs.)	LOWER_IS_BETTER	Plant-05	Num	366	317
Dec-25	Cost/Dzn (Rs.)	LOWER_IS_BETTER	Plant-06	Num	331	337
Dec-25	Quality Index	LOWER_IS_BETTER	Plant-05	%	1.71%	2.00%
Dec-25	Quality Index	LOWER_IS_BETTER	Plant-06	%	1.71%	2.00%
Dec-25	OTD	HIGHER_IS_BETTER	Plant-05	%	96.02%	95.00%
Dec-25	OTD	HIGHER_IS_BETTER	Plant-06	%	95.15%	95.00%
Dec-25	YMR	HIGHER_IS_BETTER	Plant-05	%	92.49%	94.00%
Dec-25	YMR	HIGHER_IS_BETTER	Plant-06	%	90.34%	94.00%
Dec-25	Actual OEE	HIGHER_IS_BETTER	Plant-05	%	77.10%	83.00%
Dec-25	Actual OEE	HIGHER_IS_BETTER	Plant-06	%	66.87%	74.00%
Dec-25	EHS	LOWER_IS_BETTER	Plant-05	Num	0	0
Dec-25	EHS	LOWER_IS_BETTER	Plant-06	Num	1	0
Dec-25	FGS	HIGHER_IS_BETTER	Plant-05	Num	23713	37000
Dec-25	FGS	HIGHER_IS_BETTER	Plant-06	Num	19347	17500
Dec-25	WIP	LOWER_IS_BETTER	Plant-05	Num	2.92	3.50
Dec-25	WIP	LOWER_IS_BETTER	Plant-06	Num	2.36	2.00
Jan-26	Customer Complaints	LOWER_IS_BETTER	Plant-05	Num	0	0
Jan-26	Customer Complaints	LOWER_IS_BETTER	Plant-06	Num	0	0
Jan-26	MMR	LOWER_IS_BETTER	Plant-05	Num	1.71	1.33
Jan-26	MMR	LOWER_IS_BETTER	Plant-06	Num	1.21	1.19
Jan-26	Quality Index	LOWER_IS_BETTER	Plant-05	%	1.83%	2.00%
Jan-26	Quality Index	LOWER_IS_BETTER	Plant-06	%	1.59%	2.00%
Jan-26	OTD	HIGHER_IS_BETTER	Plant-05	%	95.91%	95.00%
